"State","All Weapons","Firearm, type not stated","Handgun - pistol, revolver, etc.","Rifle","Shotgun","Knife/Cutting Instrument - includes icepick, screwdriver, axe, etc.","Blunt Object - hammer, club, etc.","Personal Weapons - includes beating by hands, feet, use of teeth, or other body members","Fire","Narcotics/Drugs - includes sleeping pills","Asphyxiation - includes death by gas","Other - type of weapon not designated or unknown","Not Specified"
"Texas",3042,1040,1178,106,21,187,47,102,8,8,5,279,27
"North Carolina",1197,340,501,49,20,49,16,36,3,36,2,117,13
"Michigan",1069,418,337,41,8,58,8,33,3,18,5,114,17
"Ohio",937,355,343,15,2,29,13,26,6,28,6,85,10
"Tennessee",890,388,304,27,12,38,6,16,0,18,1,53,4
"Georgia",883,223,449,38,7,38,10,30,7,10,3,55,13
"Alabama",866,312,334,38,8,20,4,2,2,6,2,128,2
"South Carolina",819,278,377,21,9,26,12,10,1,12,5,43,22
"Indiana",799,207,405,20,6,47,19,35,0,4,4,47,4
"Virginia",774,228,305,20,7,35,14,22,3,9,2,115,7
"Missouri",756,281,304,21,6,32,15,10,4,19,4,50,3
"Illinois",682,106,338,10,1,22,5,13,0,1,1,46,0
"Pennsylvania",612,135,355,3,3,29,5,19,6,15,4,37,0
"Louisiana",531,140,179,30,7,36,4,15,2,6,1,83,14
"Colorado",526,86,265,8,2,47,15,32,6,6,1,51,6
"Wisconsin",501,179,173,11,3,26,7,5,1,21,2,65,6
"Kentucky",467,130,218,13,1,14,3,10,2,41,5,24,4
"Washington",447,106,182,9,9,40,10,17,3,19,1,42,3
"Minnesota",439,114,164,8,3,25,3,16,4,1,1,89,4
"Oklahoma",415,96,173,9,6,31,10,17,1,8,1,58,0
"Arkansas",407,160,118,22,9,26,7,6,1,3,2,46,3
"Arizona",388,67,132,15,2,47,11,17,0,4,1,87,2
"Nevada",296,125,70,4,7,22,9,13,0,6,3,34,2
"Oregon",266,65,93,2,2,24,5,17,3,2,1,47,3
"New Mexico",222,107,36,7,4,17,2,8,2,0,0,36,3
"Mississippi",221,69,89,10,6,13,3,7,0,0,0,14,8
"Maryland",207,49,105,0,1,29,0,7,0,0,2,13,1
"Connecticut",199,88,55,0,0,20,1,10,1,5,6,12,1
"Massachusetts",186,56,51,1,0,33,4,5,4,1,0,27,2
"California",159,3,52,0,0,26,4,19,0,0,0,27,1
"New Jersey",146,21,79,0,0,16,7,11,2,1,2,6,1
"New York",135,83,8,2,1,17,3,9,0,2,0,10,0
"Washington DC",132,6,90,5,0,16,0,3,0,0,0,3,0
"Utah",130,22,56,4,0,5,3,8,0,1,1,23,6
"West Virginia",116,29,39,2,0,9,5,4,0,5,1,22,0
"Kansas",115,27,47,3,3,6,3,4,0,0,0,20,1
"Iowa",114,22,37,0,3,9,10,6,0,0,1,26,0
"Delaware",111,37,51,1,3,9,2,4,0,0,0,3,1
"Alaska",74,14,14,10,2,10,2,12,0,2,0,8,0
"Idaho",56,5,27,0,1,3,1,2,2,1,1,13,0
"Nebraska",51,4,10,0,1,3,2,1,1,2,1,19,1
"Rhode Island",50,24,11,0,0,5,3,1,0,4,0,1,1
"South Dakota",47,1,14,1,1,6,1,1,0,0,1,19,0
"Montana",42,4,14,2,0,5,1,6,1,0,1,8,0
"Wyoming",40,1,9,0,0,4,0,5,0,13,0,8,0
"Maine",34,2,16,0,0,1,1,4,3,2,0,5,0
"North Dakota",30,4,11,3,0,1,0,4,0,1,0,6,0
"New Hampshire",25,5,6,0,0,1,3,0,0,2,1,7,0
"Vermont",14,2,5,0,1,1,0,0,0,1,0,4,0
"Hawaii",11,3,2,0,0,2,0,1,0,0,0,3,0
